Maskapai,Tanggal,Waktu Berangkat,Waktu Datang,Durasi,Transit,Harga Tiket
Singapore Airlines,2025-10-05,11:15 AM,6:45 AM +1 (2025-10-06),17 hr 30 min,1 stop,Price unavailable
Malaysia Airlines,2025-10-05,12:15 PM,7:40 AM +1 (2025-10-06),17 hr 25 min,1 stop,Price unavailable
Vietnam Airlines,2025-10-05,1:50 PM,7:15 AM +1 (2025-10-06),15 hr 25 min,2 stops,Price unavailable
"Vietnam Airlines, ANA",2025-10-05,1:50 PM,7:15 AM +1 (2025-10-06),15 hr 25 min,1 stop,Price unavailable
Vietnam Airlines,2025-10-05,1:50 PM,7:35 AM +1 (2025-10-06),15 hr 45 min,2 stops,Price unavailable
Vietnam Airlines,2025-10-05,1:50 PM,7:35 AM +1 (2025-10-06),15 hr 45 min,2 stops,Price unavailable
Vietnam Airlines,2025-10-05,1:50 PM,7:35 AM +1 (2025-10-06),15 hr 45 min,2 stops,Price unavailable
Vietnam Airlines,2025-10-05,1:50 PM,8:00 AM +1 (2025-10-06),16 hr 10 min,1 stop,Price unavailable
Vietnam Airlines,2025-10-05,1:50 PM,3:05 PM +1 (2025-10-06),23 hr 15 min,2 stops,Price unavailable
Vietnam Airlines,2025-10-05,1:50 PM,3:05 PM +1 (2025-10-06),23 hr 15 min,2 stops,Price unavailable
Vietnam Airlines,2025-10-05,1:50 PM,3:05 PM +1 (2025-10-06),23 hr 15 min,2 stops,Price unavailable
Vietnam Airlines,2025-10-05,1:50 PM,3:05 PM +1 (2025-10-06),23 hr 15 min,2 stops,Price unavailable
Vietnam Airlines,2025-10-05,1:50 PM,3:05 PM +1 (2025-10-06),23 hr 15 min,2 stops,Price unavailable
Vietnam Airlines,2025-10-05,1:50 PM,3:05 PM +1 (2025-10-06),23 hr 15 min,2 stops,Price unavailable
Vietnam Airlines,2025-10-05,1:50 PM,3:05 PM +1 (2025-10-06),23 hr 15 min,2 stops,Price unavailable
Vietnam Airlines,2025-10-05,1:50 PM,3:05 PM +1 (2025-10-06),23 hr 15 min,2 stops,Price unavailable
Singapore Airlines,2025-10-05,5:00 PM,8:00 AM +1 (2025-10-06),13 hr,1 stop,Price unavailable
Singapore Airlines,2025-10-05,6:05 PM,8:00 AM +1 (2025-10-06),11 hr 55 min,1 stop,Price unavailable
Malaysia Airlines,2025-10-05,6:25 PM,7:40 AM +1 (2025-10-06),11 hr 15 min,1 stop,Price unavailable
Singapore Airlines,2025-10-05,7:20 PM,8:00 AM +1 (2025-10-06),10 hr 40 min,1 stop,Price unavailable
"Scoot, Singapore Airlines",2025-10-05,8:05 PM,8:00 AM +1 (2025-10-06),9 hr 55 min,1 stop,Price unavailable
Singapore Airlines,2025-10-05,8:15 PM,8:00 AM +1 (2025-10-06),9 hr 45 min,1 stop,Price unavailable
Air China,2025-10-05,11:00 PM,3:50 PM +1 (2025-10-06),14 hr 50 min,1 stop,Price unavailable
Air China,2025-10-05,11:00 PM,6:35 PM +1 (2025-10-06),17 hr 35 min,2 stops,Price unavailable
Air China,2025-10-05,11:00 PM,7:30 PM +1 (2025-10-06),18 hr 30 min,2 stops,Price unavailable
Air China,2025-10-05,11:00 PM,8:00 PM +1 (2025-10-06),19 hr,2 stops,Price unavailable
Air China,2025-10-05,11:00 PM,8:40 PM +1 (2025-10-06),19 hr 40 min,2 stops,Price unavailable
Air China,2025-10-05,11:00 PM,9:30 PM +1 (2025-10-06),20 hr 30 min,2 stops,Price unavailable
China Eastern,2025-10-06,11:30 PM,12:50 PM +1 (2025-10-07),11 hr 20 min,1 stop,"IDR 3,558,000"
China Airlines,2025-10-06,1:30 AM,4:55 PM (2025-10-06),13 hr 25 min,1 stop,"IDR 4,951,800"
THAI,2025-10-06,7:00 PM,8:10 AM +1 (2025-10-07),11 hr 10 min,1 stop,"IDR 5,979,300"
China Eastern,2025-10-06,11:30 PM,3:55 PM +1 (2025-10-07),14 hr 25 min,1 stop,"IDR 3,558,000"
China Eastern,2025-10-06,11:30 PM,6:30 PM +1 (2025-10-07),17 hr,1 stop,"IDR 3,558,000"
China Eastern,2025-10-06,11:30 PM,9:20 PM +1 (2025-10-07),19 hr 50 min,1 stop,"IDR 3,558,000"
"China Eastern, Shanghai Airlines",2025-10-06,11:30 PM,3:50 PM +1 (2025-10-07),14 hr 20 min,1 stop,"IDR 4,545,000"
China Eastern,2025-10-06,11:30 PM,8:55 PM +1 (2025-10-07),19 hr 25 min,1 stop,"IDR 4,545,000"
Scoot,2025-10-06,10:25 PM,11:10 AM +2 (2025-10-08),34 hr 45 min,2 stops,"IDR 4,582,352"
"Indonesia AirAsia, Thai AirAsia X",2025-10-06,2:15 PM,8:00 AM +1 (2025-10-07),15 hr 45 min,1 stop,"IDR 4,726,620"
"Indonesia AirAsia, Thai AirAsia X",2025-10-06,2:15 PM,10:45 AM +1 (2025-10-07),18 hr 30 min,1 stop,"IDR 4,726,620"
Thai Lion Air,2025-10-06,8:30 PM,4:30 PM +1 (2025-10-07),18 hr,2 stops,"IDR 4,790,400"
China Airlines,2025-10-06,1:30 AM,7:00 PM (2025-10-06),15 hr 30 min,1 stop,"IDR 4,951,800"
Vietjet,2025-10-06,1:30 PM,7:55 AM +1 (2025-10-07),16 hr 25 min,1 stop,"IDR 5,453,330"
Vietjet,2025-10-06,1:30 PM,1:00 AM +2 (2025-10-08),33 hr 30 min,1 stop,"IDR 5,453,330"
XiamenAir,2025-10-06,7:05 AM,1:40 PM +1 (2025-10-07),28 hr 35 min,1 stop,"IDR 5,473,600"
XiamenAir,2025-10-06,1:35 PM,1:45 PM +1 (2025-10-07),22 hr 10 min,1 stop,"IDR 5,473,600"
China Airlines,2025-10-06,2:40 PM,1:15 PM +1 (2025-10-07),20 hr 35 min,1 stop,"IDR 5,578,800"
China Airlines,2025-10-06,2:40 PM,4:55 PM +1 (2025-10-07),24 hr 15 min,1 stop,"IDR 5,578,800"
China Airlines,2025-10-06,2:40 PM,7:00 PM +1 (2025-10-07),26 hr 20 min,1 stop,"IDR 5,578,800"
"AirAsia, AirAsia X",2025-10-06,8:30 PM,10:35 PM +1 (2025-10-07),24 hr 5 min,1 stop,"IDR 5,774,789"
Thai Lion Air,2025-10-06,8:30 PM,4:30 PM +1 (2025-10-07),18 hr,2 stops,"IDR 5,825,100"
"Indonesia AirAsia, AirAsia X",2025-10-06,5:00 AM,10:35 PM (2025-10-06),15 hr 35 min,1 stop,"IDR 5,933,789"
"Indonesia AirAsia, AirAsia X",2025-10-06,6:25 AM,10:35 PM (2025-10-06),14 hr 10 min,1 stop,"IDR 5,933,789"
"AirAsia, AirAsia X",2025-10-06,8:35 AM,10:35 PM (2025-10-06),12 hr,1 stop,"IDR 5,933,789"
"AirAsia, AirAsia X",2025-10-06,9:15 PM,10:35 PM +1 (2025-10-07),23 hr 20 min,1 stop,"IDR 6,005,789"
THAI,2025-10-06,7:00 PM,9:10 PM +1 (2025-10-07),24 hr 10 min,1 stop,"IDR 6,371,400"
Vietjet,2025-10-06,2:00 PM,8:00 AM +1 (2025-10-07),16 hr,1 stop,"IDR 6,755,217"
Vietjet,2025-10-06,2:00 PM,3:30 PM +1 (2025-10-07),23 hr 30 min,1 stop,"IDR 6,755,217"
"Indonesia AirAsia, Thai AirAsia",2025-10-06,2:15 PM,12:55 PM +1 (2025-10-07),20 hr 40 min,2 stops,"IDR 6,823,237"
THAI,2025-10-06,12:35 PM,6:20 AM +1 (2025-10-07),15 hr 45 min,1 stop,"IDR 6,828,300"
THAI + ANA,2025-10-06,12:35 PM,6:55 AM +1 (2025-10-07),16 hr 20 min,1 stop,"IDR 6,828,300"
THAI,2025-10-06,12:35 PM,8:10 AM +1 (2025-10-07),17 hr 35 min,1 stop,"IDR 6,828,300"
THAI,2025-10-06,7:00 PM,3:55 PM +1 (2025-10-07),18 hr 55 min,1 stop,"IDR 6,828,300"
Asiana Airlines + ANA,2025-10-06,9:30 PM,5:50 PM +1 (2025-10-07),18 hr 20 min,1 stop,"IDR 6,990,600"
Asiana Airlines + ANA,2025-10-06,9:30 PM,10:00 PM +1 (2025-10-07),22 hr 30 min,1 stop,"IDR 6,990,600"
China Southern,2025-10-06,9:10 AM,1:30 PM +1 (2025-10-07),26 hr 20 min,1 stop,"IDR 7,043,900"
China Southern,2025-10-06,9:10 AM,2:20 PM +1 (2025-10-07),27 hr 10 min,1 stop,"IDR 7,043,900"
China Southern,2025-10-06,1:15 PM,1:30 PM +1 (2025-10-07),22 hr 15 min,1 stop,"IDR 7,043,900"
China Southern,2025-10-06,1:15 PM,2:20 PM +1 (2025-10-07),23 hr 5 min,1 stop,"IDR 7,043,900"
China Southern,2025-10-06,1:15 PM,7:45 PM +1 (2025-10-07),28 hr 30 min,1 stop,"IDR 7,043,900"
Scoot,2025-10-06,9:30 AM,7:55 PM +1 (2025-10-07),32 hr 25 min,2 stops,"IDR 7,107,998"
Scoot,2025-10-06,10:25 PM,7:55 PM +1 (2025-10-07),19 hr 30 min,2 stops,"IDR 7,107,998"
"Asiana Airlines, Korean Air",2025-10-06,9:30 PM,10:50 PM +1 (2025-10-07),23 hr 20 min,1 stop,"IDR 7,399,900"
Asiana Airlines,2025-10-06,9:30 PM,6:25 PM +1 (2025-10-07),18 hr 55 min,1 stop,"IDR 7,481,900"
"Garuda Indonesia, ANA + Operated by Air Japan",2025-10-06,3:40 PM,2:30 PM +1 (2025-10-07),20 hr 50 min,1 stop,"IDR 7,573,200"
"Garuda Indonesia, ANA + Operated by Air Japan",2025-10-06,5:40 PM,2:30 PM +1 (2025-10-07),18 hr 50 min,1 stop,"IDR 7,573,200"
"Garuda Indonesia, ANA + Operated by Air Japan",2025-10-06,7:00 PM,2:30 PM +1 (2025-10-07),17 hr 30 min,1 stop,"IDR 7,573,200"
Asiana Airlines + ANA,2025-10-06,9:30 PM,9:00 PM +1 (2025-10-07),21 hr 30 min,1 stop,"IDR 7,810,900"
XiamenAir,2025-10-06,11:30 PM,1:45 PM +1 (2025-10-07),12 hr 15 min,1 stop,"IDR 8,133,600"
Asiana Airlines + ANA,2025-10-06,9:30 PM,11:30 PM +1 (2025-10-07),24 hr,1 stop,"IDR 8,138,900"
THAI,2025-10-06,12:35 PM,3:55 PM +1 (2025-10-07),25 hr 20 min,1 stop,"IDR 8,264,400"
Cathay Pacific,2025-10-06,12:05 AM,1:40 PM (2025-10-06),11 hr 35 min,1 stop,"IDR 8,330,500"
Cathay Pacific + JAL,2025-10-06,12:05 AM,2:30 PM (2025-10-06),12 hr 25 min,1 stop,"IDR 8,330,500"
Cathay Pacific,2025-10-06,12:05 AM,4:05 PM (2025-10-06),14 hr,1 stop,"IDR 8,330,500"
Cathay Pacific,2025-10-06,12:05 AM,8:30 PM (2025-10-06),18 hr 25 min,1 stop,"IDR 8,330,500"
Cathay Pacific,2025-10-06,12:05 AM,9:35 PM (2025-10-06),19 hr 30 min,1 stop,"IDR 8,330,500"
Cathay Pacific,2025-10-06,8:10 AM,8:30 PM (2025-10-06),10 hr 20 min,1 stop,"IDR 8,330,500"
Cathay Pacific,2025-10-06,8:10 AM,9:35 PM (2025-10-06),11 hr 25 min,1 stop,"IDR 8,330,500"
Cathay Pacific,2025-10-06,8:10 AM,6:40 AM +1 (2025-10-07),20 hr 30 min,1 stop,"IDR 8,330,500"
Cathay Pacific,2025-10-06,8:10 AM,1:40 PM +1 (2025-10-07),27 hr 30 min,1 stop,"IDR 8,330,500"
Cathay Pacific,2025-10-06,8:10 AM,1:55 PM +1 (2025-10-07),27 hr 45 min,1 stop,"IDR 8,330,500"
Cathay Pacific,2025-10-06,8:10 AM,2:30 PM +1 (2025-10-07),28 hr 20 min,1 stop,"IDR 8,330,500"
Cathay Pacific,2025-10-06,8:10 AM,4:05 PM +1 (2025-10-07),29 hr 55 min,1 stop,"IDR 8,330,500"
Cathay Pacific,2025-10-06,2:20 PM,6:40 AM +1 (2025-10-07),14 hr 20 min,1 stop,"IDR 8,330,500"
Cathay Pacific,2025-10-06,2:20 PM,1:40 PM +1 (2025-10-07),21 hr 20 min,1 stop,"IDR 8,330,500"
Cathay Pacific,2025-10-06,2:20 PM,1:55 PM +1 (2025-10-07),21 hr 35 min,1 stop,"IDR 8,330,500"
Cathay Pacific,2025-10-06,2:20 PM,2:30 PM +1 (2025-10-07),22 hr 10 min,1 stop,"IDR 8,330,500"
Cathay Pacific,2025-10-06,2:20 PM,4:05 PM +1 (2025-10-07),23 hr 45 min,1 stop,"IDR 8,330,500"
Cathay Pacific,2025-10-06,2:20 PM,8:30 PM +1 (2025-10-07),28 hr 10 min,1 stop,"IDR 8,330,500"
Cathay Pacific,2025-10-06,2:20 PM,9:35 PM +1 (2025-10-07),29 hr 15 min,1 stop,"IDR 8,330,500"
Scoot,2025-10-06,9:30 AM,11:10 AM +1 (2025-10-07),23 hr 40 min,2 stops,"IDR 8,357,610"
Scoot,2025-10-06,8:05 PM,11:10 AM +1 (2025-10-07),13 hr 5 min,2 stops,"IDR 8,357,610"
Scoot,2025-10-06,8:05 PM,7:55 PM +1 (2025-10-07),21 hr 50 min,2 stops,"IDR 8,357,610"
Korean Air,2025-10-06,9:50 PM,9:05 PM +1 (2025-10-07),21 hr 15 min,1 stop,"IDR 8,524,900"
"Garuda Indonesia, Asiana Airlines + Korean Air",2025-10-06,11:15 PM,6:25 PM +1 (2025-10-07),17 hr 10 min,1 stop,"IDR 8,524,900"
Cathay Pacific,2025-10-06,12:05 AM,5:15 PM (2025-10-06),15 hr 10 min,2 stops,"IDR 8,603,600"
Cathay Pacific,2025-10-06,2:20 PM,5:15 PM +1 (2025-10-07),24 hr 55 min,2 stops,"IDR 8,603,600"
"Garuda Indonesia, Asiana Airlines + Korean Air",2025-10-06,11:15 PM,5:50 PM +1 (2025-10-07),16 hr 35 min,1 stop,"IDR 8,690,600"
"Garuda Indonesia, Asiana Airlines + Korean Air",2025-10-06,11:15 PM,10:00 PM +1 (2025-10-07),20 hr 45 min,1 stop,"IDR 8,690,600"
Cathay Pacific,2025-10-06,12:05 AM,5:15 PM (2025-10-06),15 hr 10 min,2 stops,"IDR 8,926,000"
Cathay Pacific,2025-10-06,12:05 AM,5:15 PM (2025-10-06),15 hr 10 min,2 stops,"IDR 8,926,000"
Cathay Pacific,2025-10-06,12:05 AM,5:15 PM (2025-10-06),15 hr 10 min,2 stops,"IDR 8,926,000"
Cathay Pacific,2025-10-06,12:05 AM,5:15 PM (2025-10-06),15 hr 10 min,2 stops,"IDR 8,926,000"
Cathay Pacific,2025-10-06,12:05 AM,5:15 PM (2025-10-06),15 hr 10 min,2 stops,"IDR 8,926,000"
"Asiana Airlines, Korean Air",2025-10-06,9:30 PM,9:05 PM +1 (2025-10-07),21 hr 35 min,1 stop,"IDR 9,424,900"
"Korean Air, Asiana Airlines",2025-10-06,9:50 PM,6:25 PM +1 (2025-10-07),18 hr 35 min,1 stop,"IDR 9,424,900"
"Korean Air, Asiana Airlines",2025-10-06,9:50 PM,9:00 PM +1 (2025-10-07),21 hr 10 min,1 stop,"IDR 9,424,900"
"Korean Air, Asiana Airlines",2025-10-06,9:50 PM,5:50 PM +1 (2025-10-07),18 hr,1 stop,"IDR 9,590,600"
"Korean Air, Asiana Airlines",2025-10-06,9:50 PM,10:00 PM +1 (2025-10-07),22 hr 10 min,1 stop,"IDR 9,590,600"
ANA,2025-10-06,7:00 AM,4:30 PM (2025-10-06),7 hr 30 min,Nonstop,"IDR 9,642,900"
Cathay Pacific,2025-10-06,12:05 AM,1:55 PM (2025-10-06),11 hr 50 min,1 stop,"IDR 9,760,500"
Cathay Pacific,2025-10-06,12:05 AM,6:40 AM +1 (2025-10-07),28 hr 35 min,1 stop,"IDR 9,760,500"
"Korean Air, Asiana Airlines",2025-10-06,9:50 PM,11:30 PM +1 (2025-10-07),23 hr 40 min,1 stop,"IDR 10,024,900"
"Garuda Indonesia, Asiana Airlines + Korean Air",2025-10-06,11:15 PM,9:00 PM +1 (2025-10-07),19 hr 45 min,1 stop,"IDR 10,024,900"
"Garuda Indonesia, Asiana Airlines + Korean Air",2025-10-06,11:15 PM,11:30 PM +1 (2025-10-07),22 hr 15 min,1 stop,"IDR 10,024,900"
JAL + Garuda Indonesia,2025-10-06,9:55 PM,7:25 AM +1 (2025-10-07),7 hr 30 min,Nonstop,"IDR 10,207,200"
"Asiana Airlines, JAL",2025-10-06,9:30 PM,4:10 PM +1 (2025-10-07),16 hr 40 min,2 stops,"IDR 10,406,100"
"Garuda Indonesia, ANA",2025-10-06,3:40 PM,7:15 PM +1 (2025-10-07),25 hr 35 min,1 stop,"IDR 10,443,200"
"Garuda Indonesia, ANA",2025-10-06,5:40 PM,7:15 PM +1 (2025-10-07),23 hr 35 min,1 stop,"IDR 10,443,200"
"Garuda Indonesia, ANA",2025-10-06,7:00 PM,7:15 PM +1 (2025-10-07),22 hr 15 min,1 stop,"IDR 10,443,200"
"Asiana Airlines, ANA + Operated by Star Flyer",2025-10-06,9:30 PM,12:20 PM +1 (2025-10-07),12 hr 50 min,2 stops,"IDR 10,646,300"
"Asiana Airlines, ANA + Operated by Star Flyer",2025-10-06,9:30 PM,3:40 PM +1 (2025-10-07),16 hr 10 min,2 stops,"IDR 10,646,300"
"Garuda Indonesia, Jeju Air",2025-10-06,11:15 PM,12:55 PM +1 (2025-10-07),11 hr 40 min,1 stop,"IDR 11,039,400"
"Garuda Indonesia, Jeju Air",2025-10-06,11:15 PM,3:55 PM +1 (2025-10-07),14 hr 40 min,1 stop,"IDR 11,039,400"
"Garuda Indonesia, Jeju Air",2025-10-06,11:15 PM,5:30 PM +1 (2025-10-07),16 hr 15 min,1 stop,"IDR 11,039,400"
"Garuda Indonesia, Jeju Air",2025-10-06,11:15 PM,6:30 PM +1 (2025-10-07),17 hr 15 min,1 stop,"IDR 11,039,400"
"Asiana Airlines, Korean Air",2025-10-06,9:30 PM,9:00 PM +1 (2025-10-07),21 hr 30 min,1 stop,"IDR 11,390,600"
Korean Air,2025-10-06,9:50 PM,9:00 PM +1 (2025-10-07),21 hr 10 min,1 stop,"IDR 11,390,600"
"Garuda Indonesia, Korean Air",2025-10-06,11:15 PM,9:00 PM +1 (2025-10-07),19 hr 45 min,1 stop,"IDR 11,390,600"
Scoot,2025-10-06,12:30 PM,11:10 AM +1 (2025-10-07),20 hr 40 min,2 stops,"IDR 11,657,610"
Scoot,2025-10-06,12:30 PM,7:55 PM +1 (2025-10-07),29 hr 25 min,2 stops,"IDR 11,657,610"
Asiana Airlines + ANA,2025-10-06,9:30 PM,11:20 AM +1 (2025-10-07),11 hr 50 min,1 stop,"IDR 11,721,900"
Garuda Indonesia,2025-10-06,1:30 PM,8:50 AM +1 (2025-10-07),17 hr 20 min,1 stop,"IDR 11,945,420"
Garuda Indonesia,2025-10-06,2:30 PM,8:50 AM +1 (2025-10-07),16 hr 20 min,1 stop,"IDR 11,945,420"
Garuda Indonesia,2025-10-06,4:00 PM,8:50 AM +1 (2025-10-07),14 hr 50 min,1 stop,"IDR 11,945,420"
Garuda Indonesia,2025-10-06,5:00 PM,8:50 AM +1 (2025-10-07),13 hr 50 min,1 stop,"IDR 11,945,420"
Garuda Indonesia,2025-10-06,6:45 PM,8:50 AM +1 (2025-10-07),12 hr 5 min,1 stop,"IDR 11,945,420"
Garuda Indonesia + JAL,2025-10-06,11:25 PM,8:50 AM +1 (2025-10-07),7 hr 25 min,Nonstop,"IDR 11,991,100"
Garuda Indonesia,2025-10-06,5:25 PM,8:50 AM +1 (2025-10-07),13 hr 25 min,1 stop,"IDR 11,999,100"
"Asiana Airlines, JAL",2025-10-06,9:30 PM,5:50 PM +1 (2025-10-07),18 hr 20 min,2 stops,"IDR 12,029,300"
"Asiana Airlines, ANA",2025-10-06,9:30 PM,6:05 PM +1 (2025-10-07),18 hr 35 min,2 stops,"IDR 12,029,300"
"Asiana Airlines, JAL",2025-10-06,9:30 PM,6:35 PM +1 (2025-10-07),19 hr 5 min,2 stops,"IDR 12,029,300"
EVA Air + ANA,2025-10-06,2:30 PM,11:35 AM +1 (2025-10-07),19 hr 5 min,1 stop,"IDR 12,592,400"
EVA Air,2025-10-06,2:30 PM,12:25 PM +1 (2025-10-07),19 hr 55 min,1 stop,"IDR 12,592,400"
EVA Air,2025-10-06,2:30 PM,1:25 PM +1 (2025-10-07),20 hr 55 min,1 stop,"IDR 12,592,400"
EVA Air,2025-10-06,2:30 PM,7:40 PM +1 (2025-10-07),27 hr 10 min,1 stop,"IDR 12,592,400"
EVA Air,2025-10-06,2:30 PM,8:05 PM +1 (2025-10-07),27 hr 35 min,1 stop,"IDR 12,592,400"
"China Eastern, JAL",2025-10-06,11:30 PM,4:10 PM +1 (2025-10-07),14 hr 40 min,2 stops,"IDR 12,646,200"
"China Eastern, JAL",2025-10-06,11:30 PM,4:10 PM +1 (2025-10-07),14 hr 40 min,2 stops,"IDR 12,646,200"
Korean Air,2025-10-06,9:50 PM,10:50 PM +1 (2025-10-07),23 hr,1 stop,"IDR 13,024,900"
ANA,2025-10-06,9:25 PM,6:50 AM +1 (2025-10-07),7 hr 25 min,Nonstop,"IDR 13,334,900"
Singapore Airlines,2025-10-06,7:20 PM,6:45 AM +2 (2025-10-08),33 hr 25 min,1 stop,"IDR 13,444,300"
"Shandong, China Southern",2025-10-06,12:25 AM,7:45 PM (2025-10-06),17 hr 20 min,2 stops,"IDR 14,004,100"
Korean Air,2025-10-06,9:50 PM,12:40 PM +1 (2025-10-07),12 hr 50 min,1 stop,"IDR 16,024,900"
Korean Air,2025-10-06,9:50 PM,7:35 PM +1 (2025-10-07),19 hr 45 min,1 stop,"IDR 16,024,900"
"Garuda Indonesia, Korean Air",2025-10-06,11:15 PM,9:05 PM +1 (2025-10-07),19 hr 50 min,1 stop,"IDR 16,024,900"
Korean Air,2025-10-06,9:50 PM,6:30 PM +1 (2025-10-07),18 hr 40 min,1 stop,"IDR 16,190,600"
"Korean Air, JAL",2025-10-06,9:50 PM,9:30 PM +1 (2025-10-07),21 hr 40 min,1 stop,"IDR 16,190,600"
"Garuda Indonesia, Korean Air",2025-10-06,11:15 PM,6:30 PM +1 (2025-10-07),17 hr 15 min,1 stop,"IDR 16,190,600"
"Garuda Indonesia, JAL + Korean Air",2025-10-06,11:15 PM,9:30 PM +1 (2025-10-07),20 hr 15 min,1 stop,"IDR 16,190,600"
"Garuda Indonesia, Jeju Air",2025-10-06,5:25 PM,3:55 PM +1 (2025-10-07),20 hr 30 min,2 stops,"IDR 16,310,400"
"Garuda Indonesia, Jeju Air",2025-10-06,5:25 PM,5:30 PM +1 (2025-10-07),22 hr 5 min,2 stops,"IDR 16,310,400"
"Garuda Indonesia, Jeju Air",2025-10-06,5:25 PM,6:30 PM +1 (2025-10-07),23 hr 5 min,2 stops,"IDR 16,310,400"
"Garuda Indonesia, Jeju Air",2025-10-06,5:25 PM,10:40 AM +2 (2025-10-08),39 hr 15 min,2 stops,"IDR 16,310,400"
"Garuda Indonesia, Jeju Air",2025-10-06,5:25 PM,11:00 AM +2 (2025-10-08),39 hr 35 min,2 stops,"IDR 16,310,400"
"Garuda Indonesia, Jeju Air",2025-10-06,5:25 PM,12:55 PM +2 (2025-10-08),41 hr 30 min,2 stops,"IDR 16,476,100"
Singapore Airlines,2025-10-06,5:25 AM,9:55 PM (2025-10-06),14 hr 30 min,1 stop,"IDR 17,121,200"
Singapore Airlines,2025-10-06,8:05 AM,9:55 PM (2025-10-06),11 hr 50 min,1 stop,"IDR 17,121,200"
Singapore Airlines,2025-10-06,9:25 AM,9:55 PM (2025-10-06),10 hr 30 min,1 stop,"IDR 17,121,200"
Garuda Indonesia,2025-10-06,5:25 PM,8:50 AM +2 (2025-10-08),37 hr 25 min,1 stop,"IDR 18,648,100"
"Garuda Indonesia, Jeju Air",2025-10-06,5:25 PM,3:55 PM +2 (2025-10-08),44 hr 30 min,2 stops,"IDR 20,181,400"
Korean Air,2025-10-06,9:50 PM,3:25 PM +1 (2025-10-07),15 hr 35 min,1 stop,"IDR 21,042,900"
Garuda Indonesia,2025-10-06,7:55 AM,8:50 AM +1 (2025-10-07),22 hr 55 min,2 stops,"IDR 23,789,420"
"Garuda Indonesia, EVA Air + ANA",2025-10-06,5:25 PM,1:25 PM +2 (2025-10-08),42 hr,2 stops,"IDR 24,136,100"
"EVA Air, ANA",2025-10-06,2:30 PM,5:45 PM +1 (2025-10-07),25 hr 15 min,1 stop,"IDR 24,450,400"
"EVA Air, ANA",2025-10-06,2:30 PM,8:50 PM +1 (2025-10-07),28 hr 20 min,1 stop,"IDR 24,450,400"
"China Eastern, JAL",2025-10-06,11:30 PM,1:55 PM +1 (2025-10-07),12 hr 25 min,1 stop,"IDR 25,591,000"
"China Eastern, JAL",2025-10-06,11:30 PM,4:50 PM +1 (2025-10-07),15 hr 20 min,1 stop,"IDR 25,591,000"
China Southern,2025-10-06,1:15 PM,1:05 PM +1 (2025-10-07),21 hr 50 min,2 stops,"IDR 28,471,600"
China Southern,2025-10-06,1:15 PM,1:20 PM +1 (2025-10-07),22 hr 5 min,2 stops,"IDR 28,471,600"
ANA,2025-10-06,6:10 AM,3:45 PM (2025-10-06),7 hr 35 min,Nonstop,"IDR 28,805,900"
"Garuda Indonesia, China Eastern",2025-10-06,11:45 PM,3:55 PM +1 (2025-10-07),14 hr 10 min,1 stop,"IDR 31,799,000"
"Garuda Indonesia, China Eastern",2025-10-06,11:45 PM,8:55 PM +1 (2025-10-07),19 hr 10 min,1 stop,"IDR 31,799,000"
"Garuda Indonesia, Singapore Airlines + ANA",2025-10-06,7:00 PM,3:45 PM +1 (2025-10-07),18 hr 45 min,1 stop,"IDR 31,838,200"
Garuda Indonesia,2025-10-06,12:50 PM,8:50 AM +2 (2025-10-08),42 hr,2 stops,"IDR 34,617,680"
"Cathay Pacific, China Eastern",2025-10-06,12:05 AM,6:30 PM (2025-10-06),16 hr 25 min,2 stops,"IDR 35,782,600"
"Cathay Pacific, China Eastern",2025-10-06,12:05 AM,8:55 PM (2025-10-06),18 hr 50 min,2 stops,"IDR 36,382,200"
"Cathay Pacific, JAL",2025-10-06,12:05 AM,4:05 PM (2025-10-06),14 hr,1 stop,"IDR 39,757,500"
"Garuda Indonesia, Cathay Pacific + JAL",2025-10-06,12:50 PM,8:30 PM +1 (2025-10-07),29 hr 40 min,2 stops,"IDR 39,807,200"
"Garuda Indonesia, Cathay Pacific",2025-10-06,12:50 PM,9:35 PM +1 (2025-10-07),30 hr 45 min,2 stops,"IDR 39,807,200"
"Garuda Indonesia, Cathay Pacific + JAL",2025-10-06,12:50 PM,6:40 AM +2 (2025-10-08),39 hr 50 min,2 stops,"IDR 39,807,200"
"Garuda Indonesia, Cathay Pacific",2025-10-06,12:50 PM,1:40 PM +2 (2025-10-08),46 hr 50 min,2 stops,"IDR 39,807,200"
"Garuda Indonesia, Cathay Pacific",2025-10-06,12:50 PM,2:30 PM +2 (2025-10-08),47 hr 40 min,2 stops,"IDR 39,807,200"
"Cathay Pacific, JAL",2025-10-06,12:05 AM,7:10 PM (2025-10-06),17 hr 5 min,2 stops,"IDR 39,820,900"
"Cathay Pacific, ANA",2025-10-06,12:05 AM,7:30 PM (2025-10-06),17 hr 25 min,2 stops,"IDR 39,820,900"
"Cathay Pacific, JAL",2025-10-06,12:05 AM,7:40 PM (2025-10-06),17 hr 35 min,2 stops,"IDR 39,820,900"
"Cathay Pacific, ANA",2025-10-06,12:05 AM,8:20 PM (2025-10-06),18 hr 15 min,2 stops,"IDR 39,820,900"
"Cathay Pacific, JAL",2025-10-06,12:05 AM,8:50 PM (2025-10-06),18 hr 45 min,2 stops,"IDR 39,820,900"
"Cathay Pacific, ANA",2025-10-06,12:05 AM,9:00 PM (2025-10-06),18 hr 55 min,2 stops,"IDR 39,820,900"
